	hydroxyurea_r	hydroxyurea_k	NaCl_r	NaCl_k	allantoin_r	allantoin_k	caffeine_r	caffeine_k	galactose_r	galactose_k	glycine_r	glycine_k	isoleucine_r	isoleucine_k	phleomycin_r	phleomycin_k	rapamycin_r	rapamycin_k
290-128	0.135832997	1683862.068	0.07789847	1054955.203	0.132390764	1535270.994	0.04340396	398702.5149	0.118441834	4366783.395	0.117977302	1120182.034	0.123027347	1310203.321	0.109005334	3411479.009	0.101065659	1680631.165
290-129	0.113076087	2194022.463	0.095262523	1976893.32	0.116696776	1517610.181	0.052745025	685765.1838	0.108653288	7280492.79	0.121955811	1316063.309	0.109503371	1501440.356	0.103956851	6264261.726	0.100618414	2220825.795
290-13	0.136632502	1132628.732	0.087854936	1556785.211	0.1320987	1409447.903	0.044619615	313291.0325	0.122157251	4388584.504	0.111134825	1238396.143	0.108360172	1368153.676	0.113822514	3263153.978	0.094701891	1847509.623
290-130	0.141250779	1633082.254	0.08699116	1272078.356	0.141452853	1329933.502	0.055859584	1408866.299	0.123952004	4368000.023	0.115104899	845085.4001	0.137455966	1088706.41	0.116329365	3195764.341	0.108423154	2354966.239
290-131	0.132644767	1898765.968	0.079902878	1029533.248	0.127569218	1518112.541	0.052251003	681613.3526	0.121582144	5172072.888	0.113594459	1095099.195	0.116083026	1347801.498	0.112786504	3597795.438	0.100477196	1722396.984
290-132	0.142233597	1962366.95	0.081326181	1266246.972	0.138020697	1571135.846	0.05764	1109675.773	0.123530493	4764267.309	0.12045035	1195558.251	0.127207083	1288478.134	0.114876329	3684407.389	0.104824101	2169619.257
290-133	0.119366517	1902523.301	0.085714527	2139266.944	0.125984176	1961368.999	0.064222831	1325475.353	0.107151605	5740772.502	0.123598046	1598168.14	0.108347916	1175291.718	0.103043122	4307896.745	0.097762582	1899007.629
290-14	0.143056491	1500762.323	0.096427852	2984779.352	0.154339037	1203927.707	0.051435008	399260.7923	0.125696126	4735736.264	0.112408893	915116.4776	0.120458097	1096016.881	0.117232671	3518458.2	0.09629877	1945251.276
290-15	0.134300875	1217610.116	0.086796648	1733350.685	0.13899244	1276307.185	-1	-1	0.113786606	4290252.521	0.118615799	1078919.512	0.116976123	1000441.453	0.109942822	3666891.082	0.102808778	1866129.326
290-16	0.144052197	1407751.29	0.085056596	1372321.011	0.149109546	1218345.228	0.042618348	243520.5054	0.126554629	3994162.876	0.123290821	903556.9562	0.12663822	1124432.639	0.116935018	2971249.33	0.102773909	1772541.677
290-17	0.137457381	1909942.722	0.079058684	1363780.412	0.144642566	1709829.278	0.04754675	495618.2626	0.116527579	5779587.605	0.114231685	1238302.612	0.115409266	1757590.909	0.113290448	4438409.162	0.095816088	2059014.56
290-18	0.14605779	1749077.798	0.078392596	1270402.396	0.153902245	1434093.514	0.049617532	519730.1246	0.121601581	5275232.564	0.116220533	1045008.766	0.1240046	1489566.827	0.117356793	3856961.465	0.097306759	1927660.585
